Corporate Bond Purchase Auction Data,,,,,,,,,,,,,,
Attribution: Bank of England,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Operation date,"Ticker (d)
",ISIN,Reference instrument,Reference yield (%),Settlement date,Total offers received (nominal £mn),Allocation (nominal £mn),Allocation (proceeds £mn),Clearing spread (bps)(a),Clearing yield (%),Clearing price (£)(b),Allocated at clearing spread (%)(c),,
14/01/2010,EDF 5 1/2 06/05/26,XS0169169355,UKT 5 03/25,4.390,19/01/2010,0.0,-,-,-,-,-,-,,
14/01/2010,EDF 5 3/4 03/08/24,XS0187202303,UKT 5 03/25,4.390,19/01/2010,3.0,3.00,3.17,120,5.59,100.763,100.00,,
14/01/2010,EDF 6 1/4 05/30/28,XS0367001061,UKT 6 12/28,4.357,19/01/2010,3.0,3.00,3.44,90,5.257,110.618,100.00,,
14/01/2010,EDF 6 1/8 06/02/34,FR0010763177,UKT 4.25 06/32,4.417,19/01/2010,0.0,-,-,-,-,-,-,,
14/01/2010,EDF 6 1/8 06/07/27,XS0148889420,UKT 6 12/28,4.357,19/01/2010,0.0,-,-,-,-,-,-,,
14/01/2010,EDF 6 7/8 12/12/22,XS0403958498,UKT 4.75 03/20,4.087,19/01/2010,0.0,-,-,-,-,-,-,,
14/01/2010,EDF 8 1/2 03/31/25,XS0058209106,UKT 5 03/25,4.390,19/01/2010,0.0,-,-,-,-,-,-,,
14/01/2010,EOANGR 5 7/8 10/30/37,XS0327443627,UKT 4.25 03/36,4.474,19/01/2010,1.2,-,-,-,-,-,-,,
14/01/2010,EOANGR 6 3/4 01/27/39,XS0408958683,UKT 4.75 12/38,4.443,19/01/2010,1.2,-,-,-,-,-,-,,
14/01/2010,FGPLN 6 7/8 09/18/24,XS0451948250,UKT 5 03/25,4.390,19/01/2010,0.0,-,-,-,-,-,-,,
14/01/2010,FRTEL 5 1/4 12/05/25,XS0236800412,UKT 5 03/25,4.390,19/01/2010,0.0,-,-,-,-,-,-,,
14/01/2010,FRTEL 5 5/8 01/23/34,FR0010039008,UKT 4.25 06/32,4.417,19/01/2010,0.0,-,-,-,-,-,-,,
14/01/2010,FRTEL 8 1/8 11/20/28,XS0399412443,UKT 6 12/28,4.357,19/01/2010,2.0,-,-,-,-,-,-,,
14/01/2010,GE 5 1/2 06/07/21,XS0092499077,UKT 4.75 03/20,4.087,19/01/2010,5.0,-,-,-,-,-,-,,
14/01/2010,GE 5 1/4 12/07/28,XS0096298822,UKT 6 12/28,4.357,19/01/2010,0.0,-,-,-,-,-,-,,
14/01/2010,GE 5 1/8 05/24/23,XS0254673964,UKT 5 03/25,4.390,19/01/2010,2.2,-,-,-,-,-,-,,
14/01/2010,GE 5 3/8 12/18/40,XS0182703743,UKT 4.75 12/38,4.443,19/01/2010,0.0,-,-,-,-,-,-,,
14/01/2010,GE 5 5/8 09/16/31,XS0154681737,UKT 4.25 06/32,4.417,19/01/2010,0.0,-,-,-,-,-,-,,
14/01/2010,GSK 5 1/4 04/10/42,XS0294624373,UKT 4.75 12/38,4.443,19/01/2010,0.0,-,-,-,-,-,-,,
14/01/2010,GSK 5 1/4 12/19/33,XS0140516864,UKT 4.25 06/32,4.417,19/01/2010,0.0,-,-,-,-,-,-,,
14/01/2010,GSK 6 3/8 03/09/39,XS0350820931,UKT 4.75 12/38,4.443,19/01/2010,0.0,-,-,-,-,-,-,,
14/01/2010,HMSOLN 6 02/23/26,XS0184639895,UKT 5 03/25,4.390,19/01/2010,4.5,-,-,-,-,-,-,,
14/01/2010,HMSOLN 7 1/4 04/21/28,XS0085732716,UKT 6 12/28,4.357,19/01/2010,2.0,-,-,-,-,-,-,,
14/01/2010,IBESM 6 3/4 05/29/23,XS0087240163,UKT 5 03/25,4.390,19/01/2010,0.0,-,-,-,-,-,-,,
14/01/2010,IBESM 7 3/8 01/29/24,XS0410370919,UKT 5 03/25,4.390,19/01/2010,0.0,-,-,-,-,-,-,,
14/01/2010,IIILN 5 3/4 12/03/32,XS0104440986,UKT 4.25 06/32,4.417,19/01/2010,0.0,-,-,-,-,-,-,,
14/01/2010,IIILN 6 7/8 03/09/23,XS0084657039,UKT 5 03/25,4.390,19/01/2010,0.0,-,-,-,-,-,-,,
14/01/2010,LGEN 5 7/8 04/05/33,XS0145680426,UKT 4.25 06/32,4.417,19/01/2010,0.0,-,-,-,-,-,-,,
14/01/2010,LINGR 5 7/8 04/24/23,XS0297700006,UKT 5 03/25,4.390,19/01/2010,0.0,-,-,-,-,-,-,,
14/01/2010,NGGLN 5 7/8 02/02/24,XS0094073672,UKT 5 03/25,4.390,19/01/2010,1.1,-,-,-,-,-,-,,
14/01/2010,NGGLN 6 05/13/38,XS0363511873,UKT 4.75 12/38,4.443,19/01/2010,0.0,-,-,-,-,-,-,,
14/01/2010,NGGLN 6 1/2 07/27/28,XS0132735373,UKT 6 12/28,4.357,19/01/2010,0.0,-,-,-,-,-,-,,
14/01/2010,NGGLN 7 12/16/24,XS0103338496,UKT 5 03/25,4.390,19/01/2010,1.7,-,-,-,-,-,-,,
14/01/2010,NGGLN 7 3/8 01/13/31,XS0407912053,UKT 4.25 06/32,4.417,19/01/2010,0.0,-,-,-,-,-,-,,
14/01/2010,NGGLN 8 3/4 06/27/25,XS0058343251,UKT 5 03/25,4.390,19/01/2010,0.0,-,-,-,-,-,-,,
14/01/2010,NGN 4 7/8 06/30/27,XS0234964459,UKT 6 12/28,4.357,19/01/2010,0.0,-,-,-,-,-,-,,
14/01/2010,NGN 4 7/8 11/15/35,XS0234964533,UKT 4.25 03/36,4.474,19/01/2010,3.4,-,-,-,-,-,-,,
14/01/2010,NWENET 6 1/8 07/21/21,XS0440345063,UKT 4.75 03/20,4.087,19/01/2010,0.0,-,-,-,-,-,-,,
14/01/2010,NWENET 8 7/8 03/25/26,XS0058957316,UKT 5 03/25,4.390,19/01/2010,0.0,-,-,-,-,-,-,,
14/01/2010,NWGLN 5 5/8 04/29/33,XS0159898153,UKT 4.25 06/32,4.417,19/01/2010,0.0,-,-,-,-,-,-,,
14/01/2010,NWGLN 6 7/8 02/06/23,XS0083567775,UKT 5 03/25,4.390,19/01/2010,0.0,-,-,-,-,-,-,,
14/01/2010,PG 5 1/4 01/19/33,XS0158603083,UKT 4.25 06/32,4.417,19/01/2010,0.0,-,-,-,-,-,-,,
14/01/2010,PG 6 1/4 01/31/30,XS0106655235,UKT 6 12/28,4.357,19/01/2010,0.0,-,-,-,-,-,-,,
14/01/2010,PPL 5 7/8 03/25/27,XS0165510313,UKT 6 12/28,4.357,19/01/2010,0.0,-,-,-,-,-,-,,
14/01/2010,PRUFIN 6 7/8 01/20/23,XS0083544212,UKT 5 03/25,4.390,19/01/2010,0.0,-,-,-,-,-,-,,
14/01/2010,RWE 5 5/8 12/06/23,XS0170732738,UKT 5 03/25,4.390,19/01/2010,0.0,-,-,-,-,-,-,,
14/01/2010,RWE 6 1/2 04/20/21,XS0127992336,UKT 4.75 03/20,4.087,19/01/2010,0.0,-,-,-,-,-,-,,
14/01/2010,RWE 6 1/4 06/03/30,XS0147048762,UKT 6 12/28,4.357,19/01/2010,2.0,-,-,-,-,-,-,,
14/01/2010,RWE 6 1/8 07/06/39,XS0437306904,UKT 4.75 12/38,4.443,19/01/2010,3.2,-,-,-,-,-,-,,
14/01/2010,SEVTRE 6 1/4 06/07/29,XS0097777253,UKT 6 12/28,4.357,19/01/2010,0.0,-,-,-,-,-,-,,
14/01/2010,SGN 4 7/8 03/21/29,XS0232335769,UKT 6 12/28,4.357,19/01/2010,0.0,-,-,-,-,-,-,,
14/01/2010,SGN 4 7/8 12/21/34,XS0232332402,UKT 4.25 06/32,4.417,19/01/2010,0.0,-,-,-,-,-,-,,
14/01/2010,SGN 6 3/8 05/15/40,XS0362679176,UKT 4.75 12/38,4.443,19/01/2010,0.0,-,-,-,-,-,-,,
14/01/2010,SGOFP 5 5/8 11/15/24,XS0274270817,UKT 5 03/25,4.390,19/01/2010,0.0,-,-,-,-,-,-,,
14/01/2010,SSELN 4 5/8 02/20/37,XS0244171236,UKT 4.25 03/36,4.474,19/01/2010,0.0,-,-,-,-,-,-,,
14/01/2010,SSELN 5 1/2 06/07/32,XS0139563166,UKT 4.25 06/32,4.417,19/01/2010,0.0,-,-,-,-,-,-,,
14/01/2010,SSELN 5 7/8 09/22/22,XS0095371638,UKT 4.75 03/20,4.087,19/01/2010,1.0,1.00,1.07,115,5.237,105.125,100.00,,
14/01/2010,SSELN 6 1/4 08/27/38,XS0383187720,UKT 4.75 12/38,4.443,19/01/2010,0.0,-,-,-,-,-,-,,
14/01/2010,SSELN 8 3/8 11/20/28,XS0399111912,UKT 6 12/28,4.357,19/01/2010,0.0,-,-,-,-,-,-,,
14/01/2010,TELEFO 5 3/8 02/02/26,XS0241945582,UKT 5 03/25,4.390,19/01/2010,0.0,-,-,-,-,-,-,,
14/01/2010,TSCOLN 4 7/8 03/24/42,XS0248395245,UKT 4.75 12/38,4.443,19/01/2010,0.0,-,-,-,-,-,-,,
14/01/2010,TSCOLN 5 03/24/23,XS0248392812,UKT 5 03/25,4.390,19/01/2010,0.0,-,-,-,-,-,-,,
14/01/2010,TSCOLN 5 1/2 01/13/33,XS0159013142,UKT 4.25 06/32,4.417,19/01/2010,0.0,-,-,-,-,-,-,,
14/01/2010,TSCOLN 5.2 03/05/57,XS0289810318,UKT 4.25 12/55,4.314,19/01/2010,0.0,-,-,-,-,-,-,,
14/01/2010,TSCOLN 6 1/8 02/24/22,XS0414345974,UKT 4.75 03/20,4.087,19/01/2010,2.0,-,-,-,-,-,-,,
14/01/2010,TSCOLN 6 12/14/29,XS0105244585,UKT 6 12/28,4.357,19/01/2010,0.0,-,-,-,-,-,-,,
14/01/2010,UU 5 02/28/35,XS0212708068,UKT 4.25 03/36,4.474,19/01/2010,0.0,-,-,-,-,-,-,,
14/01/2010,UU 5 5/8 12/20/27,XS0159728236,UKT 6 12/28,4.357,19/01/2010,2.0,-,-,-,-,-,-,,
14/01/2010,VOD 5 5/8 12/04/25,XS0181816652,UKT 5 03/25,4.390,19/01/2010,5.0,2.00,2.03,108,5.47,100.815,100.00,,
14/01/2010,VOD 5.9 11/26/32,XS0158715713,UKT 4.25 06/32,4.417,19/01/2010,0.0,-,-,-,-,-,-,,
14/01/2010,WESWAT 5 3/4 10/14/33,XS0178489844,UKT 4.25 06/32,4.417,19/01/2010,0.0,-,-,-,-,-,-,,
14/01/2010,WESWAT 5 3/8 03/10/28,XS0214275785,UKT 6 12/28,4.357,19/01/2010,0.0,-,-,-,-,-,-,,
14/01/2010,WMT 4 7/8 01/19/39,XS0279211832,UKT 4.75 12/38,4.443,19/01/2010,1.0,-,-,-,-,-,-,,
14/01/2010,WMT 5 1/4 09/28/35,XS0202077953,UKT 4.25 03/36,4.474,19/01/2010,0.0,-,-,-,-,-,-,,
14/01/2010,WMT 5 3/4 12/19/30,XS0121617517,UKT 6 12/28,4.357,19/01/2010,0.0,-,-,-,-,-,-,,
14/01/2010,WMT 5 5/8 03/27/34,XS0419834931,UKT 4.25 06/32,4.417,19/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,AALLN 6 7/8 05/01/18,XS0361024895,UKT 5 03/18,3.799,22/01/2010,1.0,-,-,-,-,-,-,,
19/01/2010,AVLN 9 1/2 06/20/16,XS0066877258,UKT 4 09/16,3.475,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,BATSLN 5 1/2 09/15/16,XS0247309569,UKT 4 09/16,3.475,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,BATSLN 5 3/4 12/09/13,XS0171812547,UKT 4.5 03/13,2.252,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,BATSLN 6 3/8 12/12/19,XS0182188366,UKT 4.5 03/19,4.013,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,BAYNGR 5 5/8 05/23/18,XS0255605239,UKT 5 03/18,3.799,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,BGGRP 5 7/8 11/13/12,XS0157201665,UKT 5 03/12,1.568,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,BMW 5 1/4 11/21/13,XS0274830628,UKT 4.5 03/13,2.252,22/01/2010,1.8,1.80,1.93,120,3.452,106.226,100.00,,
19/01/2010,BRITEL 6 5/8 06/23/17,XS0306772939,UKT 4 09/16,3.475,22/01/2010,15.0,-,-,-,-,-,-,,
19/01/2010,BRITEL 8 5/8 03/26/20,XS0052067583,UKT 4.75 03/20,4.107,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,BRK 8 7/8 10/16/20,XS0060490017,UKT 4.75 03/20,4.107,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,BRK 9 1/4 01/17/20,XS0055251010,UKT 4.75 03/20,4.107,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,KFT 5 3/8 12/11/14,XS0417033007,UKT 5 09/14,2.872,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,KFT 7 1/4 07/18/18,XS0377058614,UKT 5 03/18,3.799,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,KO 6 1/2 12/07/16,XS0126389732,UKT 4 09/16,3.475,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,CENTRI 5 1/2 10/24/16,XS0271528993,UKT 4 09/16,3.475,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,CENTRI 5 1/8 12/10/14,XS0416397098,UKT 5 09/14,2.872,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,CENTRI 5 7/8 11/02/12,XS0137672381,UKT 5 03/12,1.568,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,CENTRI 7 09/19/18,XS0388006552,UKT 5 03/18,3.799,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,CPGLN 6 3/8 05/29/12,XS0148362501,UKT 5 03/12,1.568,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,CPGLN 7 12/08/14,XS0100559037,UKT 5 09/14,2.872,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,CRHID 8 1/4 04/24/15,XS0360236789,UKT 4.75 09/15,3.164,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,DT 4 7/8 09/23/14,XS0230363805,UKT 5 09/14,2.872,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,DT 5 5/8 07/19/13,XS0261792039,UKT 4.5 03/13,2.252,22/01/2010,4.3,-,-,-,-,-,-,,
19/01/2010,DT 7 1/8 09/26/12,XS0155312829,UKT 5 03/12,1.568,22/01/2010,5.0,-,-,-,-,-,-,,
19/01/2010,DT 7 3/8 12/04/19,XS0158739739,UKT 4.5 03/19,4.013,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,EDF 8 3/4 03/30/12,XS0075123413,UKT 5 03/12,1.568,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,EOANGR 5 1/8 01/27/14,XS0409119871,UKT 5 09/14,2.872,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,EOANGR 6 10/30/19,XS0327443460,UKT 4.5 03/19,4.013,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,EXPNLN 5 5/8 12/12/13,XS0162820228,UKT 4.5 03/13,2.252,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,FGPLN 6 1/8 01/18/19,XS0181013607,UKT 4.5 03/19,4.013,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,FGPLN 6 7/8 04/15/13,XS0141500487,UKT 4.5 03/13,2.252,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,FGPLN 8 1/8 09/19/18,XS0388470154,UKT 5 03/18,3.799,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,FGPLN 8 3/4 04/08/21,XS0422620566,UKT 4.75 03/20,4.107,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,FRTEL 5 1/2 05/24/12,XS0255429754,UKT 5 03/12,1.568,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,FRTEL 7 1/4 11/10/20,FR0000483687,UKT 4.75 03/20,4.107,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,FRTEL 8 12/20/17,FR0000471484,UKT 4 09/16,3.475,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,GE 5 1/4 12/10/13,XS0167497881,UKT 4.5 03/13,2.252,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,GE 5 5/8 04/25/19,XS0297507773,UKT 4.5 03/19,4.013,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,GE 6 1/4 09/29/20,XS0118106243,UKT 4.75 03/20,4.107,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,GE 6 3/4 08/06/18,XS0381559979,UKT 5 03/18,3.799,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,GLEINT 6 1/2 02/27/19,XS0288783979,UKT 4.5 03/19,4.013,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,HMSOLN 5 1/4 12/15/16,XS0241194165,UKT 4 09/16,3.475,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,HMSOLN 6 7/8 03/31/20,XS0109514538,UKT 4.75 03/20,4.107,22/01/2010,5.0,-,-,-,-,-,-,,
19/01/2010,IBESM 8 3/8 02/20/17,XS0073359548,UKT 4 09/16,3.475,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,LINGR 6 1/2 01/29/16,XS0123544529,UKT 4 09/16,3.475,22/01/2010,2.0,-,-,-,-,-,-,,
19/01/2010,LSELN 5 7/8 07/07/16,XS0259294469,UKT 4 09/16,3.475,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,LSELN 9 1/8 10/18/19,XS0434590237,UKT 4.5 03/19,4.013,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,MKS 5 5/8 03/24/14,XS0188430721,UKT 5 09/14,2.872,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,MKS 5 7/8 05/29/12,XS0293893813,UKT 5 03/12,1.568,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,MKS 6 3/8 11/07/11,XS0138137285,UKT 4.25 03/11,0.778,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,MOTOPG 5 1/4 09/28/16,XS0453299173,UKT 4 09/16,3.475,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,MOTOPG 6 5/8 12/10/19,XS0425525267,UKT 4.5 03/19,4.013,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,NGGLN 5 1/2 07/24/13,XS0261653348,UKT 4.5 03/13,2.252,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,NGGLN 5 1/4 06/02/11,XS0256243352,UKT 4.25 03/11,0.778,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,NGGLN 6 06/07/17,XS0141704725,UKT 4 09/16,3.475,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,NGGLN 6 1/8 04/15/14,XS0412068453,UKT 5 09/14,2.872,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,NGGLN 6 3/8 03/03/20,XS0348431551,UKT 4.75 03/20,4.107,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,NWGLN 6 10/11/17,XS0139335029,UKT 4 09/16,3.475,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,NXT 5 1/4 09/30/13,XS0169287124,UKT 4.5 03/13,2.252,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,NXT 5 7/8 10/12/16,XS0269903869,UKT 4 09/16,3.475,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,PPL 9 1/4 11/09/20,XS0061222484,UKT 4.75 03/20,4.107,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,PSON 6 12/15/15,XS0418558788,UKT 4.75 09/15,3.164,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,PSON 7 10/27/14,XS0102793642,UKT 5 09/14,2.872,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,REEDLN 7 12/11/17,XS0418995907,UKT 4 09/16,3.475,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,ROLLS 6 3/4 04/30/19,XS0426014899,UKT 4.5 03/19,4.013,22/01/2010,1.3,-,-,-,-,-,-,,
19/01/2010,ROLLS 7 3/8 06/14/16,XS0112487482,UKT 4 09/16,3.475,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,RWE 6 3/8 06/03/13,XS0147048259,UKT 4.5 03/13,2.252,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,SEVTRE 5 1/4 12/08/14,XS0176529583,UKT 5 09/14,2.872,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,SEVTRE 6 01/22/18,XS0408829793,UKT 5 03/18,3.799,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,SGN 4 3/4 02/21/17,XS0232331420,UKT 4 09/16,3.475,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,SGN 4 7/8 12/21/20,XS0232334952,UKT 4.75 03/20,4.107,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,SGOFP 5 5/8 12/15/16,XS0274270908,UKT 4 09/16,3.475,22/01/2010,1.0,-,-,-,-,-,-,,
19/01/2010,SSELN 5 3/4 02/05/14,XS0411057713,UKT 5 09/14,2.872,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,TELEFO 5 3/8 02/02/18,XS0241946044,UKT 5 03/18,3.799,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,TELEFO 5.888 01/31/14,XS0279928385,UKT 5 09/14,2.872,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,TOYOTA 4 5/8 02/01/11,XS0243349882,UKT 4.25 03/11,0.778,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,TOYOTA 5 1/8 01/17/12,XS0276045951,UKT 5 03/12,1.568,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,TSCOLN 5 1/2 12/13/19,XS0159013068,UKT 4.5 03/19,4.013,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,ULVRLN 4 12/19/14,XS0418570130,UKT 5 09/14,2.872,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,UU 5 3/8 05/14/18,XS0168054673,UKT 5 03/18,3.799,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,UU 6 1/8 12/29/15,XS0406709120,UKT 4.75 09/15,3.164,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,VOD 4 5/8 09/08/14,XS0229306138,UKT 5 09/14,2.872,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,VOD 5 3/8 12/05/17,XS0432619913,UKT 4 09/16,3.475,22/01/2010,1.3,-,-,-,-,-,-,,
19/01/2010,VOD 8 1/8 11/26/18,XS0400780960,UKT 5 03/18,3.799,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,WMT 4 3/4 01/29/13,XS0160673264,UKT 4.5 03/13,2.252,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,WPPLN 6 04/04/17,XS0294391684,UKT 4 09/16,3.475,22/01/2010,0.0,-,-,-,-,-,-,,
19/01/2010,XTALN 7 3/8 05/27/20,XS0366204393,UKT 4.75 03/20,4.107,22/01/2010,0.0,-,-,-,-,-,-,,
21/01/2010,AZN 5 3/4 11/13/31,XS0330497149,UKT 4.25 06/32,4.431,26/01/2010,1.0,-,-,-,-,-,-,,
21/01/2010,BATSLN 7 1/4 03/12/24,XS0352062995,UKT 5 03/25,4.432,26/01/2010,0.0,-,-,-,-,-,-,,
21/01/2010,BRITEL 5 3/4 12/07/28,XS0097283096,UKT 6 12/28,4.387,26/01/2010,18.0,-,-,-,-,-,-,,
21/01/2010,BRITEL 6 3/8 06/23/37,XS0306772699,UKT 4.25 03/36,4.462,26/01/2010,1.7,-,-,-,-,-,-,,
21/01/2010,BRK 5 1/8 05/04/35 (XS0218520582),XS0218520582,UKT 4.25 03/36,4.462,26/01/2010,0.0,-,-,-,-,-,-,,
21/01/2010,BRK 5 1/8 05/04/35 (XS0218526274),XS0218526274,UKT 4.25 03/36,4.462,26/01/2010,0.0,-,-,-,-,-,-,,
21/01/2010,BRK 7 1/4 08/04/28,XS0083707884,UKT 6 12/28,4.387,26/01/2010,0.0,-,-,-,-,-,-,,
21/01/2010,BSY 6 05/21/27,XS0301676861,UKT 6 12/28,4.387,26/01/2010,0.0,-,-,-,-,-,-,,
21/01/2010,CENTRI 6 3/8 03/10/22,XS0416397338,UKT 4 03/22,4.272,26/01/2010,3.0,-,-,-,-,-,-,,
21/01/2010,CENTRI 7 09/19/33,XS0388006123,UKT 4.25 06/32,4.431,26/01/2010,1.3,-,-,-,-,-,-,,
21/01/2010,DT 6 1/2 04/08/22,XS0423048247,UKT 4 03/22,4.272,26/01/2010,2.2,-,-,-,-,-,-,,
21/01/2010,DT 8 7/8 11/27/28,XS0401016919,UKT 6 12/28,4.387,26/01/2010,2.0,-,-,-,-,-,-,,
21/01/2010,EDF 5 1/2 06/05/26,XS0169169355,UKT 5 03/25,4.432,26/01/2010,0.0,-,-,-,-,-,-,,
21/01/2010,EDF 5 3/4 03/08/24,XS0187202303,UKT 5 03/25,4.432,26/01/2010,2.0,2.00,2.11,120,5.632,100.352,100.00,,
21/01/2010,EDF 6 1/4 05/30/28,XS0367001061,UKT 6 12/28,4.387,26/01/2010,8.2,5.00,5.66,100,5.387,108.979,100.00,,
21/01/2010,EDF 6 1/8 06/02/34,FR0010763177,UKT 4.25 06/32,4.431,26/01/2010,2.0,2.00,2.25,97,5.401,108.607,100.00,,
21/01/2010,EDF 6 1/8 06/07/27,XS0148889420,UKT 6 12/28,4.387,26/01/2010,0.0,-,-,-,-,-,-,,
21/01/2010,EDF 6 7/8 12/12/22,XS0403958498,UKT 4 03/22,4.272,26/01/2010,2.0,1.00,1.14,105,5.322,113.489,100.00,,
21/01/2010,EDF 8 1/2 03/31/25,XS0058209106,UKT 5 03/25,4.432,26/01/2010,0.0,-,-,-,-,-,-,,
21/01/2010,EOANGR 5 7/8 10/30/37,XS0327443627,UKT 4.25 03/36,4.462,26/01/2010,3.8,2.80,2.97,100,5.462,104.714,100.00,,
21/01/2010,EOANGR 6 3/4 01/27/39,XS0408958683,UKT 4.75 12/38,4.430,26/01/2010,0.0,-,-,-,-,-,-,,
21/01/2010,FGPLN 6 7/8 09/18/24,XS0451948250,UKT 5 03/25,4.432,26/01/2010,0.0,-,-,-,-,-,-,,
21/01/2010,FRTEL 5 1/4 12/05/25,XS0236800412,UKT 5 03/25,4.432,26/01/2010,2.0,-,-,-,-,-,-,,
21/01/2010,FRTEL 5 5/8 01/23/34,FR0010039008,UKT 4.25 06/32,4.431,26/01/2010,0.0,-,-,-,-,-,-,,
21/01/2010,FRTEL 8 1/8 11/20/28,XS0399412443,UKT 6 12/28,4.387,26/01/2010,1.0,-,-,-,-,-,-,,
21/01/2010,GE 5 1/2 06/07/21,XS0092499077,UKT 4.75 03/20,4.085,26/01/2010,7.0,-,-,-,-,-,-,,
21/01/2010,GE 5 1/4 12/07/28,XS0096298822,UKT 6 12/28,4.387,26/01/2010,0.0,-,-,-,-,-,-,,
21/01/2010,GE 5 1/8 05/24/23,XS0254673964,UKT 4 03/22,4.272,26/01/2010,6.8,-,-,-,-,-,-,,
21/01/2010,GE 5 3/8 12/18/40,XS0182703743,UKT 4.75 12/38,4.430,26/01/2010,0.0,-,-,-,-,-,-,,
21/01/2010,GE 5 5/8 09/16/31,XS0154681737,UKT 4.25 06/32,4.431,26/01/2010,0.0,-,-,-,-,-,-,,
