Corporate Bond Purchase Auction Data,,,,,,,,,,,,,,
Attribution: Bank of England,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Operation date,"Ticker (d)
",ISIN,Reference instrument,Reference yield (%),Settlement date,Total offers received (nominal £mn),Allocation (nominal £mn),Allocation (proceeds £mn),Clearing spread (bps)(a),Clearing yield (%),Clearing price (£)(b),Allocated at clearing spread (%)(c),,
25/03/2009,FGPLN 8 1/8 09/19/18,XS0388470154,UKT 5 03/18,3.210,30/03/2009,5.2,-,-,-,-,-,-,,
25/03/2009,FRTEL 7 1/4 11/10/20,FR0000483687,UKT 4.75 03/20,3.551,30/03/2009,6.8,4.30,5,201,5.561,113.417,-,,
25/03/2009,FRTEL 8 12/20/17,FR0000471484,,,30/03/2009,0.0,-,-,0,-,-,-,,
25/03/2009,GE 5 1/2 06/07/21,XS0092499077,UKT 4.75 03/20,3.551,30/03/2009,13.2,5.00,3.72,605,9.601,69.954,-,,
25/03/2009,GE 6 1/4 09/29/20,XS0118106243,UKT 4.75 03/20,3.551,30/03/2009,5.8,2.50,1.98,601,9.561,76.125,-,,
25/03/2009,HMSOLN 5 1/4 12/15/16,XS0241194165,UKT 4 09/16,2.888,30/03/2009,15.5,6.50,4.78,760,10.488,72.008,-,,
25/03/2009,HMSOLN 6 7/8 03/31/20,XS0109514538,UKT 4.75 03/20,3.551,30/03/2009,11.0,-,-,-,-,-,-,,
25/03/2009,IBESM 8 3/8 02/20/17,XS0073359548,UKT 4 09/16,2.888,30/03/2009,2.0,1.60,1.93,231,5.198,119.638,-,,
25/03/2009,NGGLN 6 06/07/17,XS0141704725,UKT 4 09/16,2.888,30/03/2009,10.6,4.50,4.97,220,5.088,105.523,-,,
25/03/2009,NGGLN 6 3/8 03/03/20,XS0348431551,UKT 4.75 03/20,3.551,30/03/2009,6.0,4.70,4.92,220,5.751,104.272,-,,
25/03/2009,PPL 9 1/4 11/09/20,XS0061222484,,,30/03/2009,0.0,-,-,0,-,-,-,,
25/03/2009,SGN 4 3/4 02/21/17,XS0232331420,UKT 4 09/16,2.888,30/03/2009,17.9,3.70,3.48,282,5.708,93.544,-,,
